TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
ATL,01/10/2018,ATL @ DEN,W,239,110,40,80,50,12,27,44.4,18,18,100,6,38,44,25,6,4,16,23,13
ATL,04/10/2018,ATL vs. PHI,L,240,113,41,98,41.8,13,37,35.1,18,26,69.2,8,31,39,27,10,3,10,24,-8
ATL,04/06/2018,ATL @ WAS,W,239,103,38,79,48.1,11,33,33.3,16,23,69.6,7,43,50,24,5,5,18,22,6
ATL,04/04/2018,ATL vs. MIA,L,239,86,33,90,36.7,9,30,30,11,17,64.7,10,38,48,20,5,6,15,16,-29
ATL,04/03/2018,ATL @ MIA,L,240,98,37,88,42,13,33,39.4,11,15,73.3,12,37,49,24,10,1,15,15,-3
ATL,04/01/2018,ATL vs. ORL,W,241,94,41,85,48.2,11,36,30.6,1,1,100,5,47,52,33,0,3,14,15,6
ATL,03/30/2018,ATL vs. PHI,L,239,91,36,101,35.6,9,39,23.1,10,15,66.7,15,44,59,24,9,4,16,14,-10
ATL,03/28/2018,ATL @ MIN,L,239,114,41,77,53.2,13,27,48.1,19,23,82.6,4,33,37,26,10,2,20,22,-6
ATL,03/25/2018,ATL @ HOU,L,239,99,39,88,44.3,11,40,27.5,10,11,90.9,7,38,45,18,5,2,13,14,-19
ATL,03/23/2018,ATL @ GSW,L,241,94,37,84,44,11,32,34.4,9,20,45,5,39,44,24,5,5,11,14,-12
ATL,03/22/2018,ATL @ SAC,L,239,90,33,84,39.3,12,36,33.3,12,18,66.7,6,34,40,19,7,2,12,10,-15
ATL,03/20/2018,ATL @ UTA,W,241,99,38,94,40.4,9,33,27.3,14,19,73.7,11,41,52,21,7,3,13,23,5
ATL,03/17/2018,ATL @ MIL,L,240,117,39,85,45.9,12,36,33.3,27,28,96.4,8,36,44,23,7,4,19,25,-5
ATL,03/15/2018,ATL vs. CHA,L,242,117,42,90,46.7,16,36,44.4,17,26,65.4,6,40,46,30,5,2,11,27,-12
ATL,03/13/2018,ATL vs. OKC,L,241,107,37,87,42.5,13,31,41.9,20,24,83.3,13,34,47,26,5,5,15,25,-12
ATL,03/11/2018,ATL vs. CHI,L,241,122,42,82,51.2,19,40,47.5,19,22,86.4,5,37,42,32,2,5,15,14,-7
ATL,03/09/2018,ATL @ IND,L,238,87,34,82,41.5,10,33,30.3,9,10,90,6,29,35,21,11,4,18,13,-25
ATL,03/06/2018,ATL @ TOR,L,241,90,34,80,42.5,6,21,28.6,16,21,76.2,12,32,44,22,8,6,21,25,-16
